Newton,affine,"{""alpha"": 3.162277660168379e-07, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,81.985,31.188,36.681,22.822,20.404,23.581,70.955,63.078,83.287,57.587,96.855
Newton,affine,"{""alpha"": 3.162277660168379e-06, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,91.888,126.005,148.81,57.949,41.703,68.707,243.516,152.473,159.778,77.0,102.653
Newton,affine,"{""alpha"": 1e-06, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,151.943,64.942,86.546,39.45,26.779,43.721,182.096,145.276,184.201,111.65,177.422
Newton,affine,"{""alpha"": 1e-05, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.526,104.902,82.644,30.769,30.3,39.864,79.525,32.271,24.75,20.601,21.647
Newton,affine,"{""alpha"": 3.1622776601683795e-05, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,16.257,24.064,14.967,15.622,14.72,17.803,19.354,19.635,17.446,15.581,16.698
Newton,affine,"{""alpha"": 0.00031622776601683794, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,13.378,12.669,10.365,9.982,10.514,12.226,14.867,14.325,14.142,12.512,14.097
Newton,affine,"{""alpha"": 0.0001, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,14.637,15.349,12.277,11.868,12.141,14.061,16.599,16.87,15.63,13.78,15.32
Newton,affine,"{""alpha"": 0.001, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,11.967,10.154,8.589,8.032,8.94,10.563,12.967,11.787,12.414,11.211,12.584
Newton,affine,"{""alpha"": 0.0031622776601683794, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,10.401,8.164,7.019,6.188,7.489,9.089,11.066,9.663,10.492,9.821,10.827
Newton,affine,"{""alpha"": 0.01, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,8.854,6.799,5.848,4.856,6.259,7.873,9.402,8.124,8.631,8.438,9.103
Newton,affine,"{""alpha"": 0.03162277660168379, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,8.031,6.364,5.449,4.385,5.661,7.513,8.524,7.406,7.547,7.742,8.148
Newton,affine,"{""alpha"": 0.31622776601683794, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Newton,affine,"{""alpha"": 0.1, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Newton,affine,"{""alpha"": 1.0, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Newton,affine,"{""alpha"": 3.1622776601683795, ""gamma"": 0.9999}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NAD-SAN,affine,"{""alpha"": 1e-08}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.175,24.444,23.092,21.78,22.749,23.973,26.566,26.058,23.041,20.82,21.474
